crop_idx,soil_idx,irrigation,day_of_year,rain_7d,has_dry_gap,temp_mean,success
0,0,0,164,23.4,1,23.6,1
0,2,0,199,0.2,1,28.5,0
2,1,1,231,11.5,1,33.7,1
3,2,0,324,14.7,1,26.1,0
2,2,0,163,14.4,0,28.2,1
3,1,0,307,13.7,1,23.3,0
2,1,0,191,18.4,1,30.3,0
1,2,0,192,64.5,0,33.5,1
3,1,1,308,12.1,1,19.0,1
1,0,1,224,80.5,0,26.6,1
0,0,0,197,2.4,0,19.8,0
2,2,1,157,73.8,0,29.8,1
2,0,0,152,47.7,0,25.1,1
1,0,1,205,4.1,1,26.2,0
4,0,0,215,0.4,1,26.3,0
1,2,0,150,19.3,0,25.6,1
1,0,0,173,45.3,0,26.5,1
3,0,1,304,10.3,1,22.4,1
4,1,1,177,4.2,1,30.7,0
0,0,1,243,17.8,0,29.8,1
3,0,0,299,9.3,1,16.0,0
1,2,1,142,21.1,0,27.1,1
3,1,0,340,3.9,0,18.9,0
0,2,1,236,69.0,0,22.3,1
0,0,0,213,15.0,1,26.8,0
4,1,1,138,43.8,0,30.5,1
0,1,0,171,14.2,0,28.8,0
1,1,1,215,135.1,1,28.4,1
0,0,0,198,0.7,0,24.0,0
2,2,1,171,9.8,1,27.2,0
2,0,0,137,3.2,1,24.8,0
4,2,0,188,42.6,1,31.0,0
2,1,1,171,62.2,0,27.7,1
0,1,1,171,29.2,1,28.9,1
0,1,0,187,35.1,0,22.0,1
2,1,1,147,11.1,0,28.4,0
4,1,0,190,36.9,1,22.0,1
1,1,0,220,38.3,0,33.5,0
1,0,0,164,6.4,1,28.1,0
3,2,0,289,5.3,1,18.6,0
2,1,0,192,46.2,0,28.6,1
3,2,0,319,10.9,0,19.0,0
4,0,0,179,40.8,0,34.2,1
2,1,1,152,31.2,1,31.3,1
2,0,0,178,7.2,1,30.2,0
4,0,1,200,10.1,1,29.6,1
1,0,1,200,1.2,1,28.5,0
1,2,1,208,65.1,0,27.7,1
0,1,0,169,2.8,1,26.9,0
3,2,0,348,4.6,1,21.6,0
1,1,0,186,0.0,0,27.9,0
2,2,1,210,18.0,1,25.6,1
3,2,0,314,8.9,1,19.0,1
4,1,0,191,31.1,0,30.6,0
0,2,0,153,104.8,1,30.4,1
2,1,0,209,25.2,0,33.7,1
1,0,0,164,2.1,1,32.2,0
2,1,0,182,23.6,1,22.0,0
2,1,0,123,11.2,1,24.9,1
1,1,1,196,3.2,1,35.0,0
2,0,0,193,4.1,1,28.1,0
1,0,0,210,15.0,1,29.2,0
4,0,1,194,66.5,1,31.9,1
2,0,1,205,48.9,0,33.4,1
1,0,0,175,14.3,1,28.5,0
3,1,1,315,4.1,1,21.0,0
0,2,0,170,0.7,1,25.7,0
3,2,1,311,4.3,1,21.6,1
1,1,0,167,71.8,1,28.4,0
3,2,0,351,13.8,0,20.8,1
4,0,0,182,61.2,0,32.1,1
3,1,0,283,4.6,1,19.3,0
2,0,1,203,22.4,1,26.8,1
0,0,1,194,50.1,0,29.6,1
4,1,0,177,4.4,0,33.0,0
3,0,0,305,10.5,0,21.0,0
2,0,0,229,17.6,1,26.7,0
2,0,1,203,5.5,0,31.0,0
3,0,0,302,5.2,0,21.1,1
1,1,0,204,7.8,0,30.2,1
2,0,1,181,43.2,1,25.7,1
3,1,0,362,9.7,0,20.4,0
2,2,0,170,2.2,0,28.7,0
4,2,0,193,37.6,0,26.0,1
1,2,0,151,39.9,0,30.0,1
0,2,0,189,47.5,0,30.3,1
3,1,1,288,15.5,0,27.0,0
1,1,1,148,21.9,1,22.6,1
1,1,0,188,23.7,0,27.0,0
0,1,0,146,17.8,1,31.8,1
0,0,0,190,20.4,0,27.0,1
3,1,0,363,35.6,0,17.2,1
3,0,0,330,18.3,1,14.5,0
3,2,0,318,9.1,1,20.9,1
2,1,0,222,17.7,1,30.7,0
1,0,0,176,25.4,1,31.8,0
3,2,0,342,2.7,1,17.9,0
0,2,1,206,6.8,1,27.4,0
1,2,1,240,71.1,0,27.8,1
0,1,1,195,61.4,0,28.5,1
3,1,1,340,18.3,0,20.2,1
3,1,0,343,19.8,1,17.3,0
2,0,1,183,0.2,0,24.4,0
4,2,0,141,16.4,0,26.9,1
2,1,0,180,27.4,1,33.7,0
3,0,1,287,7.8,0,21.5,0
1,2,0,173,79.5,0,32.4,0
3,2,0,318,2.6,0,16.8,0
4,1,0,184,13.1,1,32.9,0
0,0,0,176,40.0,0,27.4,1
0,1,0,176,3.2,1,30.8,0
4,1,0,243,55.3,0,29.4,1
0,0,1,187,10.3,0,33.3,0
3,2,1,324,7.2,0,18.7,1
2,1,0,147,13.1,0,28.5,1
2,1,0,166,5.4,0,28.6,0
1,2,0,222,0.6,0,26.6,0
3,1,0,323,3.7,1,21.8,0
0,0,0,165,25.6,0,27.3,0
2,0,0,222,9.2,1,31.0,0
1,2,0,131,30.4,0,25.8,0
4,2,1,171,19.2,1,23.8,1
3,2,1,309,2.0,1,16.8,0
3,0,1,366,1.1,1,22.2,1
3,1,0,306,5.8,0,17.5,0
0,2,1,184,72.3,0,27.7,1
3,0,0,269,9.3,1,21.1,0
1,1,1,170,59.8,0,26.4,1
2,1,0,182,94.5,0,29.9,1
0,2,0,214,6.7,1,30.0,0
0,0,0,192,19.8,0,28.2,1
1,0,0,149,33.8,1,30.1,0
2,0,1,162,184.5,0,27.8,1
0,2,0,164,41.2,0,26.9,1
0,0,0,203,26.2,1,22.8,1
3,2,0,309,6.4,1,17.5,0
4,1,0,174,54.7,0,24.3,1
4,0,0,190,7.8,0,31.8,1
0,2,0,179,10.8,0,35.8,1
1,1,0,145,21.5,1,22.4,0
0,0,1,175,93.2,0,26.7,1
3,2,0,301,3.1,1,14.5,0
4,2,0,179,1.7,0,28.9,0
0,0,1,119,21.7,1,28.7,0
2,2,1,153,27.9,1,21.8,1
1,1,0,203,53.4,0,28.1,0
1,2,0,213,36.1,0,29.9,1
1,1,1,216,48.3,1,34.3,1
2,1,0,153,20.3,1,21.1,0
3,0,1,313,58.6,1,21.0,1
0,0,0,148,134.2,1,30.1,0
3,2,0,303,9.3,1,23.7,1
4,2,0,179,5.7,0,29.9,0
4,0,1,158,5.8,0,28.9,0
0,0,0,173,9.9,1,27.9,0
2,1,1,207,59.1,0,25.0,1
4,0,0,143,5.6,0,24.1,0
4,1,0,223,76.1,0,26.6,1
4,1,1,209,3.4,1,26.0,0
2,0,0,226,32.4,1,34.6,0
3,2,0,342,14.8,1,19.1,0
4,1,0,158,8.7,1,27.5,0
2,0,1,154,35.4,1,34.5,1
3,2,1,327,2.2,1,21.1,0
4,1,0,188,10.5,1,27.5,0
4,0,0,197,42.8,0,27.6,1
1,2,0,202,6.1,1,30.7,0
3,0,1,300,3.4,1,18.3,1
1,0,1,179,1.2,0,25.4,0
0,0,0,135,80.5,0,24.4,1
3,2,1,343,18.6,1,19.9,1
4,1,0,159,14.5,0,30.1,0
3,0,0,303,13.8,0,20.5,0
4,1,0,215,27.9,1,28.7,1
1,0,0,190,8.5,0,24.9,0
2,0,1,203,4.2,1,25.6,0
2,2,0,201,27.5,1,26.7,0
4,2,1,170,21.0,1,29.8,0
1,0,0,147,17.3,1,24.8,0
0,2,0,182,11.8,1,23.0,0
4,2,0,111,28.6,0,31.7,0
4,2,1,180,31.9,0,23.5,1
3,2,0,302,53.5,0,24.4,1
4,1,0,175,6.2,0,31.5,0
0,0,1,166,127.0,0,23.6,1
1,1,1,172,60.3,0,21.2,1
1,1,1,155,43.6,1,26.2,1
4,2,0,163,48.4,0,20.9,1
0,0,1,168,1.1,1,30.3,1
2,2,0,169,63.5,0,29.8,1
3,1,0,299,0.4,0,19.0,0
3,0,1,332,3.6,1,24.3,0
2,2,0,147,16.8,0,26.0,1
2,0,0,188,11.5,1,28.7,0
2,2,1,202,11.6,1,26.2,1
4,0,0,137,60.9,0,29.8,1
0,2,1,190,31.5,1,31.1,1
4,1,1,182,188.6,1,26.4,1
4,0,0,186,61.9,1,30.2,0
4,2,0,163,52.0,0,21.6,0
4,1,0,210,42.4,0,34.1,1
3,1,1,315,49.5,0,15.8,1
0,1,0,164,5.3,0,27.9,0
4,0,0,191,11.5,0,23.7,0
0,1,0,187,11.7,1,29.0,0
1,2,0,200,11.7,1,26.0,0
2,2,0,178,92.8,0,25.9,1
2,0,1,140,60.8,1,31.1,1
0,2,0,200,1.4,1,29.9,0
3,1,1,306,10.9,0,21.8,0
3,1,0,309,12.5,1,25.5,0
4,1,0,172,35.6,1,26.9,1
2,1,0,179,12.2,1,27.3,0
1,0,0,131,45.7,0,30.6,0
2,1,0,182,69.3,0,25.2,1
2,2,1,176,13.4,1,30.8,1
0,1,1,155,6.4,1,33.2,1
0,0,1,185,16.7,0,20.6,1
2,1,0,210,30.4,1,28.4,1
0,0,1,152,3.7,0,28.3,0
2,1,0,159,23.4,0,26.4,0
4,1,0,114,184.5,0,23.7,1
2,2,0,245,6.5,0,21.7,0
2,1,1,158,24.8,1,29.9,1
2,2,0,187,285.6,0,23.9,0
3,2,1,301,4.7,1,24.2,0
4,0,0,141,116.4,1,28.8,0
4,2,1,187,4.7,1,26.6,0
1,1,0,189,23.1,1,27.9,0
1,1,0,134,32.6,1,34.8,0
0,2,1,125,32.3,1,22.0,0
2,2,0,175,65.7,1,32.0,1
2,2,0,202,92.7,0,30.8,0
1,1,0,207,14.2,1,29.7,0
2,2,0,210,2.5,0,23.0,0
3,0,1,327,1.1,0,24.2,1
3,1,0,329,12.0,0,15.4,0
4,0,0,189,4.2,1,30.8,0
3,1,0,287,3.2,0,18.7,0
2,1,0,141,35.8,1,27.5,0
4,2,0,104,30.9,1,28.6,1
1,1,0,160,12.0,1,24.4,0
2,2,1,151,74.8,1,26.9,1
0,0,0,180,1.7,0,28.0,0
1,0,0,184,70.5,0,24.3,0
2,0,0,195,39.4,0,27.4,1
4,0,1,191,5.2,0,31.2,0
4,0,0,189,100.9,0,25.2,1
2,0,0,190,24.3,1,27.6,0
1,1,1,185,18.8,1,23.4,1
2,1,1,196,32.8,0,24.2,1
3,1,1,313,10.4,0,26.9,1
4,0,1,185,3.7,1,33.2,1
1,1,1,158,82.8,0,32.2,1
0,1,0,150,52.1,1,31.9,1
1,2,0,175,16.0,0,25.6,1
4,0,1,125,16.3,0,28.9,1
3,0,1,323,18.2,0,21.7,1
3,2,1,323,7.7,0,22.9,0
3,1,1,323,12.6,1,16.2,1
0,0,0,170,34.1,1,26.9,0
2,0,1,147,39.2,0,33.5,1
3,1,0,339,14.8,0,20.8,1
4,0,0,139,24.3,1,28.6,1
1,1,0,165,6.3,1,27.7,0
2,0,0,180,17.4,1,28.6,1
3,2,0,330,8.9,0,20.7,1
1,2,0,159,41.9,0,32.6,0
1,2,0,190,13.0,0,29.9,0
0,2,1,194,32.3,1,29.5,0
3,1,1,321,19.8,0,17.0,1
4,2,1,179,25.2,1,30.2,1
3,0,0,318,3.9,1,19.0,0
4,0,0,149,7.4,1,30.6,0
1,2,0,185,11.6,1,27.3,0
2,2,0,203,5.4,1,26.3,0
1,0,0,176,24.1,0,33.3,0
0,2,0,182,15.9,0,26.9,0
0,2,0,202,15.2,1,30.6,0
0,2,0,189,17.4,1,27.4,0
4,0,0,214,7.8,0,25.0,1
3,2,1,342,12.3,0,18.3,0
1,1,1,165,11.1,0,30.6,1
3,2,0,325,1.9,0,25.7,0
1,1,0,183,11.0,1,21.9,0
0,2,1,170,25.2,1,28.9,1
0,2,1,207,21.7,1,31.5,1
4,1,0,170,38.3,0,26.4,1
0,2,0,132,23.1,1,29.7,0
3,1,0,312,19.2,1,21.9,0
3,2,0,326,9.3,0,26.5,0
4,1,0,155,70.2,0,27.0,1
1,1,1,163,34.3,1,30.7,0
2,2,0,170,27.9,0,28.5,1
2,0,1,205,32.6,0,27.4,1
1,0,1,169,16.4,1,27.4,0
2,1,0,179,132.2,0,27.1,1
3,1,0,326,2.7,0,17.1,1
2,1,0,198,27.9,1,32.8,1
2,0,1,177,41.7,0,25.5,1
1,1,0,157,29.0,1,33.1,0
0,2,0,205,102.6,0,29.0,1
2,1,1,143,1.8,1,33.0,0
0,0,0,177,64.1,0,29.7,1
0,1,0,158,48.3,1,27.5,1
3,0,0,325,13.3,1,16.4,1
0,0,1,160,11.1,0,25.6,1
4,1,1,220,3.0,1,31.5,0
2,2,0,168,25.2,0,32.6,0
2,1,0,183,27.1,0,30.7,1
4,0,0,169,72.4,0,32.8,1
3,1,0,309,7.0,0,23.6,0
4,2,0,167,37.3,0,33.1,1
4,0,1,200,20.7,1,29.9,1
3,2,0,277,5.2,1,22.6,0
4,1,0,197,73.2,0,28.0,1
2,0,0,189,39.5,1,26.9,0
2,1,0,152,39.2,0,29.3,1
4,0,1,182,54.5,0,31.9,1
0,1,0,172,15.3,0,29.5,1
0,1,0,145,8.7,1,26.0,0
4,0,0,213,41.7,1,19.8,1
1,1,0,188,26.6,0,31.2,1
4,0,0,180,4.2,1,29.4,0
1,0,1,193,68.1,0,32.7,1
4,0,0,195,46.0,0,29.3,1
4,0,1,171,11.8,1,27.0,0
2,1,0,171,18.5,1,28.0,1
1,1,0,194,65.9,0,25.4,0
1,1,0,161,45.7,0,27.7,1
3,2,0,317,31.8,0,19.8,0
0,0,0,194,27.8,0,30.3,0
1,1,1,198,25.5,0,30.2,1
3,0,0,295,5.9,0,24.9,0
2,0,1,184,35.0,0,31.3,1
4,2,0,164,9.7,0,24.5,0
3,1,0,301,20.7,1,25.6,0
0,2,0,159,26.3,1,30.6,0
4,2,0,201,59.0,1,23.7,0
3,1,1,299,0.4,0,15.1,1
4,2,1,204,53.6,0,29.2,1
4,2,1,188,10.0,1,29.1,1
2,2,1,195,0.2,1,31.6,0
4,0,0,179,53.6,0,27.5,1
4,2,0,154,5.0,1,31.9,1
2,0,1,220,163.6,1,34.1,1
1,0,0,192,92.2,1,23.1,0
4,2,0,207,43.9,0,29.9,1
2,0,1,153,99.5,0,33.2,1
0,2,1,147,5.9,1,31.0,0
3,1,0,339,2.2,0,22.4,0
2,2,0,227,84.4,0,26.4,0
4,0,0,191,2.9,1,31.6,0
2,1,1,185,9.9,1,30.6,0
4,2,1,195,11.8,1,25.2,0
3,0,1,325,7.5,1,21.2,1
3,2,0,352,26.7,0,18.0,1
1,1,0,177,2.0,1,23.5,0
4,2,1,193,8.7,0,23.7,0
3,0,0,337,2.0,0,25.5,0
2,1,1,187,17.6,1,27.9,1
1,0,0,195,168.0,0,20.9,1
4,0,1,116,37.4,0,35.0,1
3,2,0,313,14.4,0,21.7,1
4,0,1,186,30.3,1,23.6,1
3,2,1,302,1.7,1,23.9,1
2,2,0,166,91.7,1,30.9,0
0,1,0,166,3.2,1,32.2,0
4,1,1,241,31.1,1,35.9,1
1,1,0,147,10.8,1,25.9,0
1,1,1,183,90.4,1,30.0,1
4,0,1,201,50.0,0,33.3,1
4,1,0,170,1.1,0,29.3,0
2,2,1,192,1.8,0,41.7,0
3,0,1,288,0.6,1,20.1,1
0,2,0,210,17.4,1,26.3,1
0,0,0,197,92.6,0,34.5,1
4,0,1,218,9.3,0,28.5,1
2,1,1,177,33.1,1,28.8,1
1,1,1,188,11.4,0,29.9,0
3,1,1,337,55.4,0,25.4,1
2,0,0,180,146.6,1,28.8,0
3,2,0,326,2.0,1,17.6,0
1,2,0,231,48.7,1,26.7,0
2,0,0,207,10.0,1,27.6,0
1,2,0,164,20.3,1,26.9,0
4,0,1,169,23.3,0,29.4,1
1,1,0,199,30.7,1,32.8,0
2,2,0,157,72.2,0,28.7,1
1,1,0,176,30.1,1,28.3,1
4,1,0,183,47.0,0,25.6,1
3,2,0,285,33.4,1,22.7,0
0,2,1,132,1.8,0,25.0,0
4,2,0,190,79.8,1,25.2,1
2,0,1,150,63.0,0,28.7,1
2,1,0,185,50.2,1,24.2,1
2,1,1,176,32.2,1,25.3,1
2,1,1,223,2.5,1,29.7,1
2,2,1,165,15.3,1,28.8,1
3,0,0,351,9.1,0,19.9,1
3,2,0,321,14.9,0,16.4,1
2,2,1,188,95.3,1,27.1,1
0,2,0,174,53.1,0,27.7,1
4,2,1,210,19.8,1,28.5,0
1,1,0,136,81.1,0,29.3,0
2,1,0,217,14.9,1,25.6,0
0,1,1,181,37.7,0,26.8,1
0,0,0,147,12.8,1,30.0,0
3,1,0,349,27.4,0,19.6,1
0,0,1,151,9.3,0,29.2,0
4,2,0,192,91.3,0,26.7,1
2,0,0,190,102.7,1,30.4,1
1,0,0,240,48.7,0,32.6,1
3,0,1,308,3.1,1,23.0,0
3,1,0,333,0.6,0,18.7,0
2,2,0,149,29.7,1,28.4,0
3,0,0,303,6.3,1,17.0,0
3,1,0,301,12.3,0,22.8,0
3,2,0,310,3.3,1,16.7,0
0,1,0,192,15.6,1,25.6,0
1,0,1,202,70.4,0,34.4,1
1,2,0,134,29.1,1,25.3,1
4,2,1,185,52.9,0,32.5,1
0,0,0,193,53.1,1,24.1,0
3,2,0,310,13.5,0,23.7,0
1,1,0,202,9.0,1,25.3,0
4,0,1,199,8.4,0,23.6,0
2,0,1,189,18.5,0,23.7,1
1,0,0,181,19.5,1,27.0,0
2,1,1,184,29.0,1,31.3,1
4,1,0,189,5.7,1,29.1,0
4,0,0,189,30.5,0,31.9,1
2,0,1,210,0.6,1,34.1,0
4,2,0,158,3.5,1,26.7,0
1,0,0,218,53.0,0,25.7,1
2,0,0,213,17.0,1,28.8,0
2,0,0,151,3.0,1,27.8,0
2,0,0,130,22.7,0,26.6,1
3,1,0,300,16.1,1,25.3,1
3,0,0,313,62.8,0,25.0,0
4,0,0,232,66.4,0,24.4,1
1,1,0,243,27.3,0,25.8,1
2,2,0,196,60.0,0,23.6,1
3,1,1,297,26.9,0,21.4,1
3,0,1,306,34.1,0,24.5,1
0,0,1,154,39.4,0,32.3,0
1,2,0,215,13.4,1,28.9,0
0,1,0,179,3.9,0,25.5,0
4,2,0,217,21.4,1,33.2,0
0,1,1,172,7.0,0,26.7,0
1,1,1,159,39.4,0,26.2,1
1,0,0,160,4.3,0,27.1,0
3,2,1,298,2.3,1,21.9,0
2,2,0,192,13.5,1,36.3,0
2,1,0,192,11.4,1,30.0,0
1,1,1,193,1.4,1,25.2,0
4,1,1,214,105.2,0,27.7,0
4,2,0,131,33.0,0,31.0,1
1,2,0,220,82.6,1,27.1,1
2,2,0,208,28.3,1,26.0,0
0,2,0,193,27.3,1,27.7,1
0,0,0,190,54.2,0,29.5,0
2,2,0,190,9.8,1,25.8,0
4,0,0,207,5.5,1,26.7,0
4,2,0,167,87.3,1,26.9,0
0,0,0,202,21.2,1,21.9,0
0,0,1,199,6.4,0,31.9,0
4,2,0,204,6.5,0,23.8,0
0,0,0,181,115.5,0,29.7,1
4,0,0,148,31.0,0,29.8,1
3,2,0,349,22.3,0,24.8,1
4,0,0,196,0.6,0,33.1,0
3,2,0,304,2.4,1,21.1,0
2,1,0,183,5.1,1,28.0,0
3,2,1,347,7.9,0,17.5,0
2,1,0,177,28.2,1,23.7,1
2,2,0,210,29.0,0,25.8,0
4,0,1,197,23.4,0,33.1,1
4,0,1,166,18.8,1,24.6,1
4,2,0,157,34.4,1,27.8,1
4,2,1,185,77.5,0,31.8,1
2,0,1,183,7.0,0,30.9,1
1,1,0,220,2.4,1,33.9,0
1,1,0,162,17.9,1,24.8,1
0,0,1,237,38.1,0,22.8,0
1,0,1,196,1.8,0,26.7,0
4,2,0,231,9.6,1,28.0,0
1,1,0,193,12.7,1,28.7,0
0,2,1,155,39.0,1,27.0,1
1,2,0,162,36.3,1,21.8,1
2,2,0,192,13.7,1,29.9,1
2,1,0,173,58.6,0,29.6,1
2,1,0,162,85.0,0,31.1,0
0,2,0,184,4.5,0,35.7,0
4,1,0,186,9.4,1,26.0,0
2,2,0,205,39.6,0,31.1,0
4,2,1,209,16.9,0,27.7,0
4,0,0,182,32.4,1,34.3,0
2,2,0,191,41.8,0,31.3,0
3,2,0,298,0.9,0,17.4,0
2,1,1,204,17.5,0,25.4,1
0,0,1,144,14.8,1,23.4,0
4,2,0,151,142.1,0,28.1,1
0,1,0,214,7.6,1,26.7,0
0,2,0,201,25.2,0,25.1,1
0,0,0,160,69.3,0,37.3,1
1,2,1,194,44.9,0,29.3,1
3,0,0,348,15.2,0,16.6,1
1,2,1,199,3.0,1,23.0,0
2,2,1,187,39.0,0,29.5,1
3,2,1,332,3.9,1,15.4,0
0,1,0,155,0.2,1,32.6,0
2,1,0,153,9.3,0,25.2,0
0,2,0,157,132.8,1,21.0,0
1,1,1,211,177.8,0,24.6,1
2,2,0,192,27.5,0,26.4,0
2,0,1,186,0.5,1,27.2,0
1,2,0,182,73.8,1,36.7,0
2,1,0,180,55.7,1,21.1,0
4,1,0,148,1.4,0,21.7,0
3,2,0,331,1.8,1,20.6,0
4,1,1,215,20.9,1,32.8,1
1,2,1,174,13.2,1,26.2,0
1,1,1,140,19.4,1,29.1,1
2,0,0,200,7.5,1,31.4,0
3,1,1,345,0.3,1,17.7,0
1,0,0,164,2.9,0,23.2,0
0,0,1,144,58.6,0,26.0,1
1,1,0,187,75.5,0,33.8,1
1,1,0,173,16.3,1,30.1,1
1,2,1,203,1.8,0,28.9,0
4,2,1,176,14.7,1,30.8,1
4,2,0,183,50.3,1,31.0,1
2,0,1,209,99.1,0,26.1,1
4,1,0,176,39.2,0,26.0,1
3,1,0,331,9.5,0,18.8,1
1,0,0,157,79.9,0,18.9,0
1,1,0,164,0.8,1,27.6,0
0,1,0,196,97.7,0,29.5,1
3,1,0,344,0.9,1,17.0,0
3,2,0,299,9.7,0,19.3,1
4,2,0,214,11.2,1,24.2,0
4,0,0,169,25.5,1,25.5,0
1,0,0,181,10.5,0,30.7,0
0,2,0,242,32.1,0,32.4,1
0,1,1,181,31.4,0,28.4,1
0,2,0,140,5.1,1,25.7,0
3,0,0,343,16.6,1,21.1,1
3,2,0,343,0.4,0,18.4,0
1,1,0,177,3.1,1,34.0,0
4,0,0,112,2.7,0,25.8,0
1,2,0,169,139.1,0,31.9,1
0,1,0,189,100.7,0,34.1,1
4,1,0,170,37.1,0,31.2,1
3,0,0,351,4.0,1,23.4,0
2,1,1,155,90.5,0,24.0,1
0,0,0,175,8.7,1,26.5,0
3,1,0,317,11.1,0,22.2,0
1,1,0,185,50.9,0,24.5,0
4,2,1,156,13.0,0,29.1,0
3,2,0,331,7.7,0,18.9,0
4,2,0,150,146.2,0,27.6,1
4,2,0,170,1.2,1,28.2,0
0,0,0,174,61.9,0,30.7,0
4,2,1,152,97.4,0,33.0,1
0,0,1,194,47.0,0,25.9,1
2,1,0,210,20.0,1,26.3,1
2,1,0,208,17.5,1,25.3,0
3,1,1,304,5.5,1,18.1,1
2,2,1,224,0.6,0,30.8,0
3,0,0,289,32.6,0,22.6,0
2,2,0,186,30.5,1,29.7,0
3,1,0,304,9.6,0,20.9,0
1,2,0,158,24.5,1,22.3,0
4,1,0,225,126.8,0,28.4,1
4,2,1,146,77.6,0,27.8,1
3,2,0,345,1.0,0,23.0,1
3,0,1,283,9.9,0,19.9,1
4,2,0,120,76.4,1,26.3,1
4,2,0,204,10.7,1,28.4,0
0,0,1,197,60.1,0,33.7,1
0,2,0,225,17.5,0,27.2,1
0,0,0,184,29.6,1,29.5,0
0,0,0,228,48.3,0,29.2,0
2,2,0,150,132.7,1,26.8,0
4,0,0,172,3.3,1,25.9,0
2,2,0,184,55.7,0,20.7,1
4,0,1,166,7.2,0,26.6,0
2,1,1,170,20.9,1,29.8,0
3,1,0,330,15.2,0,16.3,0
1,0,0,202,13.7,1,29.7,0
3,0,0,317,5.2,0,19.4,0
4,1,0,182,52.9,0,33.6,1
0,2,1,198,3.2,1,33.4,1
4,1,0,220,59.0,0,24.9,1
2,1,1,142,10.3,1,27.7,1
0,1,1,151,70.4,1,28.1,1
3,0,0,302,3.7,0,25.1,1
4,2,0,166,35.3,1,25.7,0
1,2,1,152,69.4,1,27.4,0
4,2,1,197,32.9,1,24.0,1
4,2,0,201,76.9,0,21.7,1
1,2,0,178,13.0,0,22.5,0
0,1,0,152,92.0,1,27.6,0
2,1,1,194,4.2,1,30.4,0
4,0,0,222,1.2,1,19.3,0
2,2,0,168,243.5,0,22.3,1
2,1,1,120,3.9,1,35.1,0
4,0,0,164,10.5,1,26.6,0
1,0,1,164,46.6,0,29.2,1
2,2,1,157,93.4,0,24.6,1
2,0,1,213,4.8,1,32.6,0
0,2,0,177,61.3,1,26.7,1
